x,y,r,g,b
0,0,0.0991846, 0.426026, 0.474594
0,1,0.155698, 0.597989, 0.58483
0,2,0.169044, 0.67984, 0.619327
0,3,0.218798, 0.733209, 0.584883
0,4,0.328574, 0.772599, 0.558681
0,5,0.450406, 0.806858, 0.479414
0,6,0.494858, 0.804737, 0.373302
0,7,0.475129, 0.779105, 0.305814
0,8,0.407826, 0.70846, 0.20239
0,9,0.337995, 0.603722, 0.125521
1,0,0.122754, 0.442017, 0.542641
1,1,0.154447, 0.583929, 0.661585
1,2,0.189092, 0.660354, 0.709329
1,3,0.246139, 0.719685, 0.666461
1,4,0.353462, 0.773024, 0.607763
1,5,0.455998, 0.81101, 0.488378
1,6,0.496233, 0.83658, 0.357376
1,7,0.525728, 0.801537, 0.287598
1,8,0.516141, 0.765078, 0.204013
1,9,0.426469, 0.67637, 0.129689
2,0,0.135051, 0.387001, 0.62404
2,1,0.196985, 0.496472, 0.739601
2,2,0.24281, 0.568209, 0.769335
2,3,0.308853, 0.621845, 0.721759
2,4,0.408208, 0.689556, 0.650139
2,5,0.509791, 0.741689, 0.521869
2,6,0.569568, 0.770914, 0.383713
2,7,0.606835, 0.765959, 0.313047
2,8,0.584184, 0.730653, 0.230263
2,9,0.4937, 0.644052, 0.142452
3,0,0.144636, 0.326401, 0.65154
3,1,0.226698, 0.408821, 0.751893
3,2,0.311673, 0.459695, 0.7919
3,3,0.369781, 0.521963, 0.755526
3,4,0.471803, 0.601223, 0.684705
3,5,0.578158, 0.636863, 0.540252
3,6,0.647432, 0.67864, 0.399864
3,7,0.694491, 0.69046, 0.323784
3,8,0.664771, 0.653833, 0.220681
3,9,0.564261, 0.565016, 0.145827
4,0,0.146649, 0.19725, 0.608118
4,1,0.261218, 0.254794, 0.739841
4,2,0.361116, 0.304553, 0.791646
4,3,0.449057, 0.354962, 0.762291
4,4,0.573031, 0.429446, 0.711048
4,5,0.672455, 0.456234, 0.575664
4,6,0.731269, 0.493581, 0.436443
4,7,0.750613, 0.501945, 0.334522
4,8,0.727237, 0.494183, 0.199075
4,9,0.623351, 0.439924, 0.136682
5,0,0.125082, 0.13043, 0.574303
5,1,0.261286, 0.174288, 0.710066
5,2,0.398453, 0.229262, 0.761054
5,3,0.516232, 0.255239, 0.754157
5,4,0.665457, 0.310984, 0.73309
5,5,0.727426, 0.315405, 0.600809
5,6,0.771529, 0.31999, 0.460284
5,7,0.771014, 0.31356, 0.347416
5,8,0.738745, 0.309597, 0.203367
5,9,0.618248, 0.261999, 0.141036
6,0,0.113106, 0.0781852, 0.454197
6,1,0.261077, 0.107184, 0.590305
6,2,0.392027, 0.140896, 0.657834
6,3,0.543677, 0.177218, 0.685488
6,4,0.674655, 0.205446, 0.694296
6,5,0.744104, 0.215128, 0.578295
6,6,0.774362, 0.222138, 0.451994
6,7,0.767014, 0.210075, 0.339516
6,8,0.717914, 0.19126, 0.183626
6,9,0.584505, 0.178634, 0.132842
7,0,0.0888938, 0.056596, 0.355101
7,1,0.230003, 0.0642307, 0.47148
7,2,0.372099, 0.0990159, 0.561118
7,3,0.503645, 0.121925, 0.598418
7,4,0.655068, 0.126722, 0.643654
7,5,0.711978, 0.13554, 0.549813
7,6,0.72515, 0.139647, 0.439365
7,7,0.689083, 0.117632, 0.323112
7,8,0.614481, 0.103797, 0.177946
7,9,0.485467, 0.101851, 0.0850804
8,0,0.0815574, 0.0544304, 0.207039
8,1,0.193325, 0.0356753, 0.330508
8,2,0.309971, 0.0777972, 0.418461
8,3,0.442978, 0.0756924, 0.47973
8,4,0.566946, 0.0951312, 0.514621
8,5,0.625341, 0.0953467, 0.448119
8,6,0.637491, 0.0825789, 0.363682
8,7,0.582574, 0.0705894, 0.278262
8,8,0.499578, 0.067525, 0.147829
8,9,0.378806, 0.039306, 0.0673723
9,0,0.0453589, 0.0421897, 0.109268
9,1,0.131935, 0.0637836, 0.199343
9,2,0.218836, 0.0583702, 0.25744
9,3,0.334889, 0.0334171, 0.314599
9,4,0.428949, 0.0581482, 0.341182
9,5,0.464985, 0.0608349, 0.307807
9,6,0.469489, 0.0428184, 0.24911
9,7,0.43338, 0.038439, 0.204694
9,8,0.344847, 0.059291, 0.0919208
9,9,0.286192, 0.0298583, 0.050647
