x, y, beta, gamma, rx, ry
0,0,0.180603, 0.026562, 0.0251352, 0.0341799
0,1,0.493338, 0.0757941, 0.0511438, 0.0888213
0,2,0.803109, 0.125675, 0.0776083, 0.138595
0,3,1.06125, 0.178936, 0.102854, 0.182171
0,4,1.2396, 0.225445, 0.12163, 0.214247
0,5,1.32655, 0.257682, 0.130004, 0.22951
0,6,1.32115, 0.29446, 0.133087, 0.231471
0,7,1.28879, 0.336496, 0.133965, 0.230042
0,8,1.23139, 0.366797, 0.131456, 0.223062
0,9,1.09673, 0.381309, 0.122862, 0.203341
0,10,0.871265, 0.37303, 0.108636, 0.168471
0,11,0.602951, 0.330956, 0.0875368, 0.12391
1,0,0.20866, 0.0368981, 0.0222968, 0.0347659
1,1,0.560415, 0.0952386, 0.0548328, 0.0995632
1,2,0.896641, 0.157863, 0.0892784, 0.156833
1,3,1.16046, 0.216333, 0.114187, 0.199727
1,4,1.3244, 0.257113, 0.130032, 0.229538
1,5,1.36228, 0.29762, 0.136211, 0.238166
1,6,1.35669, 0.33652, 0.1391, 0.240322
1,7,1.32644, 0.384301, 0.140803, 0.2395
1,8,1.28421, 0.42275, 0.141423, 0.235573
1,9,1.19198, 0.463973, 0.140007, 0.22508
1,10,0.989473, 0.500684, 0.133285, 0.196783
1,11,0.712834, 0.509737, 0.120068, 0.154917
2,0,0.230339, 0.103105, 0.0335323, 0.050377
2,1,0.584196, 0.21389, 0.0763432, 0.109142
2,2,0.906849, 0.304344, 0.107734, 0.169135
2,3,1.14236, 0.3726, 0.133086, 0.210577
2,4,1.27019, 0.420527, 0.146702, 0.233687
2,5,1.29408, 0.469653, 0.152501, 0.241276
2,6,1.29083, 0.505005, 0.154766, 0.243558
2,7,1.26852, 0.55048, 0.158007, 0.243549
2,8,1.23918, 0.586703, 0.159614, 0.241723
2,9,1.16769, 0.640752, 0.162408, 0.235104
2,10,1.00356, 0.720665, 0.165091, 0.216284
2,11,0.760487, 0.782035, 0.161981, 0.182843
3,0,0.235109, 0.21941, 0.0519031, 0.058431
3,1,0.565538, 0.403546, 0.103622, 0.121585
3,2,0.84586, 0.561404, 0.140622, 0.179909
3,3,1.04003, 0.653869, 0.165914, 0.217244
3,4,1.14439, 0.702708, 0.178192, 0.236928
3,5,1.17168, 0.734019, 0.180595, 0.243452
3,6,1.17395, 0.748537, 0.182597, 0.245008
3,7,1.16104, 0.77836, 0.185059, 0.245216
3,8,1.14519, 0.796033, 0.185493, 0.244079
3,9,1.08976, 0.855569, 0.189665, 0.240174
3,10,0.955826, 0.965197, 0.201168, 0.228434
3,11,0.748822, 1.07038, 0.209536, 0.20602
4,0,0.23897, 0.413375, 0.0820562, 0.0698685
4,1,0.519953, 0.662817, 0.138944, 0.139025
4,2,0.744648, 0.876779, 0.184556, 0.189377
4,3,0.89225, 1.00489, 0.210711, 0.222563
4,4,0.980479, 1.04646, 0.219957, 0.239497
4,5,1.01152, 1.05832, 0.22085, 0.244967
4,6,1.02111, 1.06047, 0.220849, 0.246491
4,7,1.01805, 1.07217, 0.221582, 0.246913
4,8,1.01293, 1.07422, 0.220601, 0.246148
4,9,0.967628, 1.13424, 0.226857, 0.244027
4,10,0.851943, 1.27869, 0.246097, 0.237883
4,11,0.692841, 1.39515, 0.259086, 0.223766
5,0,0.231859, 0.634563, 0.121328, 0.0940642
5,1,0.448092, 0.969008, 0.183389, 0.149958
5,2,0.612595, 1.25132, 0.234637, 0.198707
5,3,0.710673, 1.41528, 0.26315, 0.227213
5,4,0.771312, 1.4702, 0.272412, 0.241335
5,5,0.803514, 1.47739, 0.273203, 0.246664
5,6,0.817813, 1.47013, 0.271645, 0.248163
5,7,0.826132, 1.46044, 0.269344, 0.248583
5,8,0.831165, 1.44529, 0.26622, 0.248063
5,9,0.79478, 1.49709, 0.272838, 0.246702
5,10,0.710266, 1.60671, 0.290714, 0.242662
5,11,0.583927, 1.70503, 0.305596, 0.232069
6,0,0.199832, 0.835201, 0.150392, 0.101699
6,1,0.36038, 1.28453, 0.228692, 0.161281
6,2,0.465508, 1.65092, 0.28975, 0.209601
6,3,0.531238, 1.84789, 0.32292, 0.235259
6,4,0.573364, 1.89408, 0.330355, 0.245023
6,5,0.593463, 1.90588, 0.331793, 0.24922
6,6,0.613079, 1.88445, 0.328257, 0.250379
6,7,0.634571, 1.84757, 0.322028, 0.25061
6,8,0.656628, 1.80039, 0.313266, 0.250091
6,9,0.64034, 1.81773, 0.315702, 0.249038
6,10,0.580159, 1.88623, 0.329386, 0.245481
6,11,0.490929, 1.93304, 0.338906, 0.236086
7,0,0.191277, 1.0182, 0.180292, 0.114796
7,1,0.321011, 1.5306, 0.265948, 0.177893
7,2,0.390111, 1.92684, 0.33362, 0.219849
7,3,0.42547, 2.1164, 0.365855, 0.240543
7,4,0.440785, 2.18278, 0.376583, 0.248481
7,5,0.462625, 2.17954, 0.374599, 0.251601
7,6,0.473478, 2.17076, 0.37301, 0.252482
7,7,0.490136, 2.1399, 0.367942, 0.252481
7,8,0.513312, 2.08711, 0.358725, 0.251615
7,9,0.509918, 2.07767, 0.357116, 0.25027
7,10,0.460526, 2.1299, 0.36687, 0.24704
7,11,0.401725, 2.12437, 0.368177, 0.238143
8,0,0.177544, 1.1029, 0.195777, 0.121398
8,1,0.281599, 1.66208, 0.287681, 0.181447
8,2,0.341737, 2.0801, 0.359716, 0.225326
8,3,0.355672, 2.26548, 0.391325, 0.2424
8,4,0.36398, 2.33594, 0.403549, 0.249356
8,5,0.380075, 2.34032, 0.40343, 0.252296
8,6,0.389263, 2.33584, 0.402437, 0.253339
8,7,0.408502, 2.30165, 0.395902, 0.253388
8,8,0.432763, 2.2426, 0.385248, 0.252215
8,9,0.438, 2.21211, 0.379779, 0.25054
8,10,0.407, 2.2243, 0.382909, 0.246663
8,11,0.360941, 2.18551, 0.378102, 0.236519
9,0,0.160078, 1.11411, 0.19287, 0.121547
9,1,0.251949, 1.69009, 0.293746, 0.179245
9,2,0.302822, 2.13479, 0.369363, 0.223423
9,3,0.311316, 2.33784, 0.405542, 0.241515
9,4,0.314214, 2.42464, 0.420688, 0.249276
9,5,0.316932, 2.45869, 0.426895, 0.252517
9,6,0.327115, 2.4546, 0.425771, 0.253733
9,7,0.350122, 2.40807, 0.416796, 0.253423
9,8,0.379943, 2.33372, 0.402719, 0.251762
9,9,0.397558, 2.27151, 0.390931, 0.249181
9,10,0.378024, 2.24684, 0.387016, 0.244275
9,11,0.338452, 2.17038, 0.375286, 0.232566
10,0,0.139774, 1.05147, 0.183224, 0.110477
10,1,0.215734, 1.62359, 0.282592, 0.169176
10,2,0.258795, 2.09394, 0.364369, 0.213388
10,3,0.273878, 2.35487, 0.409626, 0.237599
10,4,0.2707, 2.47932, 0.432295, 0.247432
10,5,0.254818, 2.56636, 0.44884, 0.252207
10,6,0.262534, 2.56646, 0.448665, 0.253249
10,7,0.299542, 2.48645, 0.432793, 0.252199
10,8,0.33738, 2.38573, 0.413118, 0.24969
10,9,0.359403, 2.30165, 0.396985, 0.24596
10,10,0.352113, 2.22929, 0.384394, 0.23911
10,11,0.327042, 2.08623, 0.359626, 0.222892
11,0,0.108813, 0.899599, 0.161372, 0.0942817
11,1,0.163285, 1.44724, 0.253193, 0.148425
11,2,0.207501, 1.95698, 0.343278, 0.193988
11,3,0.227715, 2.28725, 0.399869, 0.224883
11,4,0.226599, 2.46247, 0.431742, 0.23946
11,5,0.224813, 2.55326, 0.447684, 0.246373
11,6,0.224307, 2.579, 0.452715, 0.248479
11,7,0.254703, 2.50291, 0.437406, 0.24694
11,8,0.28358, 2.39845, 0.417347, 0.24235
11,9,0.301864, 2.29358, 0.398148, 0.236926
11,10,0.304473, 2.15377, 0.373135, 0.225583
11,11,0.272643, 1.95606, 0.339467, 0.204486
