x,y,r,g,b
0,0,0.0114, 0.0121, 0.0182
0,1,0.0073, 0.0061, 0.0191
0,2,0.0155, 0.0005, 0.0124
0,3,0.0097, 0.0185, 0.0132
0,4,0.0183, 0.0127, 0.0134
0,5,0.0089, 0.0034, 0.0032
0,6,0.0122, 0.0036, 0.0055
0,7,0.0039, 0.0157, 0.0133
0,8,0.017, 0.0108, 0.0185
0,9,0.0011, 0.0103, 0.0094
1,0,0.00271503, 0.0219565, 0.011754
1,1,0.0179468, 0.0355598, 0.0186916
1,2,0.017022, 0.0350453, 0.0199476
1,3,0.0077677, 0.046668, 0.019829
1,4,0.0181631, 0.0405608, 0.0307884
1,5,0.00988512, 0.0433335, 0.0290566
1,6,0.0131873, 0.0272896, 0.0271715
1,7,0.0168, 0.0089, 0.0112
1,8,0.0103, 0.0038, 0.0021
1,9,0.0066, 0.0049, 0.0124
2,0,0.0122356, 0.0853185, 0.0824455
2,1,0.0199963, 0.116264, 0.109476
2,2,0.0562406, 0.161059, 0.146279
2,3,0.062948, 0.187534, 0.161685
2,4,0.0774543, 0.185552, 0.160494
2,5,0.092854, 0.176471, 0.139357
2,6,0.0870273, 0.132083, 0.0864018
2,7,0.0738109, 0.0664658, 0.0550949
2,8,0.060725, 0.0521635, 0.034077
2,9,0.0109783, 0.0234868, 0.0169689
3,0,0.0357707, 0.14117, 0.176735
3,1,0.0633064, 0.200591, 0.245426
3,2,0.138819, 0.305894, 0.295879
3,3,0.178904, 0.346125, 0.301806
3,4,0.215208, 0.339297, 0.283795
3,5,0.228245, 0.325575, 0.234698
3,6,0.205417, 0.256634, 0.15668
3,7,0.160062, 0.155131, 0.0894224
3,8,0.10294, 0.0978495, 0.0367004
3,9,0.0238741, 0.0239701, 0.0134361
4,0,0.070752, 0.164424, 0.315845
4,1,0.12708, 0.23199, 0.413972
4,2,0.237991, 0.349056, 0.473051
4,3,0.291166, 0.412049, 0.454411
4,4,0.354433, 0.415545, 0.418686
4,5,0.391836, 0.402847, 0.345443
4,6,0.34433, 0.332654, 0.234111
4,7,0.263234, 0.198481, 0.135523
4,8,0.141669, 0.112936, 0.0668556
4,9,0.0201378, 0.0289816, 0.00351851
5,0,0.108895, 0.144861, 0.415005
5,1,0.18913, 0.224156, 0.545101
5,2,0.302039, 0.348615, 0.603621
5,3,0.381258, 0.400501, 0.562524
5,4,0.463387, 0.423547, 0.510727
5,5,0.531902, 0.468857, 0.425507
5,6,0.456562, 0.382725, 0.275331
5,7,0.328042, 0.234535, 0.177798
5,8,0.16686, 0.134499, 0.0744098
5,9,0.0200185, 0.0353644, 0.00786243
6,0,0.122354, 0.131372, 0.474189
6,1,0.211223, 0.181355, 0.616455
6,2,0.354579, 0.286654, 0.642694
6,3,0.446221, 0.35606, 0.59771
6,4,0.531743, 0.398894, 0.537056
6,5,0.58505, 0.449645, 0.429272
6,6,0.487073, 0.364994, 0.29557
6,7,0.352136, 0.232395, 0.188321
6,8,0.166884, 0.135275, 0.0659007
6,9,0.031359, 0.0179506, 0.00114114
7,0,0.13669, 0.101911, 0.491458
7,1,0.241767, 0.141263, 0.635124
7,2,0.386826, 0.216121, 0.645043
7,3,0.474119, 0.27947, 0.601295
7,4,0.550572, 0.324894, 0.548971
7,5,0.582038, 0.344495, 0.430114
7,6,0.473913, 0.311432, 0.295261
7,7,0.333391, 0.19831, 0.179489
7,8,0.158318, 0.105034, 0.0733636
7,9,0.0233943, 0.0302083, 0.0168911
8,0,0.144888, 0.0708873, 0.447187
8,1,0.263793, 0.108725, 0.596382
8,2,0.37484, 0.161926, 0.597724
8,3,0.453858, 0.22122, 0.555577
8,4,0.531556, 0.259858, 0.51752
8,5,0.504197, 0.271789, 0.402954
8,6,0.420888, 0.242167, 0.26206
8,7,0.294029, 0.166863, 0.164433
8,8,0.130798, 0.0966624, 0.0544476
8,9,0.0130145, 0.0163113, 0.00455737
9,0,0.125263, 0.0380279, 0.338969
9,1,0.233624, 0.0721577, 0.444729
9,2,0.323959, 0.106895, 0.463737
9,3,0.372901, 0.127024, 0.441818
9,4,0.40302, 0.144512, 0.401023
9,5,0.380168, 0.151119, 0.289552
9,6,0.295416, 0.127183, 0.186554
9,7,0.204587, 0.0856435, 0.10826
9,8,0.0810606, 0.0379476, 0.0408861
9,9,0.0197, 0.0112, 0.0056
